document;Haltung – menschlicher Bewerter
Sehr geehrte Frau Präsidentin! Liebe Kolleginnen und Kollegen! Wir erleben in diesen Tagen eine gravierende Änderung unserer Weltordnung. Wir hatten 70 Jahre lang weltweit den Konsens, dass es verpönt ist, militärisch Grenzen zu verschieben, dass wir nukleare Bedrohungen kleinhalten wollen, dass wir möglichst wenigen Staaten Atomwaffen geben wollen und das bröckelt. Es gibt Staaten, die sich dafür einsetzen, aktiv die Grenzen militärisch zu überschreiten, die Inseln bedrohen, die nuklear aufrüsten. Diese Staaten verbünden sich auch. Viele dieser Staaten betreiben hybride Kriegsführung gegen die Bundesrepublik Deutschland auch das kriegen wir alle mit. Jeden Tag erfahren Sie von Cyberattacken auf die Bundesrepublik Deutschland, auf Parteien hier in Deutschland. Drohnenattacken finden hier ständig statt. Brandsätze im Luftverkehr werden entdeckt. Seekabel in der Ostsee werden von zivilen Forschungsschiffen aus solchen Staaten durchgeschnitten. Bahnstrecken werden beschädigt. Radikale Parteien werden finanziert. Diese Staaten führen nichts Gutes im Schilde. Und jetzt bekommen wir mit, dass viele frühere Soldatinnen und Soldaten für solche Staaten aktiv werden. Das sind Menschen, die militärisches Wissen haben. Durch die Panama Papers haben wir erfahren, wie viel dort bezahlt wird es sind mehrere Hunderttausend Euro im Jahr, die dort bezahlt werden. Das wird nicht für die Vermittlung von Flugphysik bezahlt, sondern selbstverständlich werden da weitergegeben militärisches Fachwissen, geheime NATO-Einsatztaktiken, Angriffsszenarien, die in der NATO trainiert werden. Es ist ein Unding, dass so was passiert. Es ist untragbar, dass sich Menschen, in deren Ausbildung wir Millionen Euro reingesteckt haben es gibt hier Kolleginnen und Kollegen, die schon mal mit dem Eurofighter mitgeflogen sind und die wissen, wie viel eine Flugstunde kostet , die mit 41 Jahren in Rente gehen dürfen, dort ihr Gehalt aufbessern. Es ist untragbar. Wir haben hier eine Gesetzeslücke. Deswegen wird es allerhöchste Zeit, dass das geändert wird. Künftig wird das Hinund Herpendeln zwischen Chongqing und Nanjing mit dem silbernen Geldkoffer in der Hand, um Geschäfte zu machen, unterbunden. Hier werden in Deutschland künftig die Handschellen klicken, und das wird allerhöchste Zeit. Vielen Dank.;IRRELEVANT
Sehr geehrter Herr Bundeskanzler, ich begrüße, dass Sie nach über zwei Jahren zu Ihrer Abschiedsreise wieder den Weg in die Ukraine gefunden haben. Ich war mehrmals in der Ukraine und hatte dort auch die Gelegenheit, mit den Piloten zu sprechen, die seit anderthalb Jahren erfolgreich den Storm Shadow und den SCALP die Pendants zum Taurus ins Ziel bringen. Frankreich und das Vereinigte Königreich sind damit vorangegangen und auch hier keine Kriegsparteien geworden. Die Ausbildung am Taurus dauert nach Angaben des Herstellers vier Monate. Meine Frage an Sie, Herr Bundeskanzler: Halten Sie es nicht auch für sinnvoll, die Ausbildung am Taurus jetzt zu beginnen, um Ihrem Nachfolger direkt alle Optionen offenzuhalten und hier keine weiteren Verzögerungen zu riskieren?;FAVOR
Vielen Dank. Herr Bundeskanzler, Sie haben gerade ausgeführt, dass Sie nicht den Weg gehen wollen, den Frankreich und Großbritannien gegangen sind. Mir ging es aber darum, Ihrem Nachfolger eventuell Ihnen selbst aber das haben die Bürgerinnen und Bürger in der Hand alle Optionen zu ermöglichen. Da die Ausbildung an dem Waffensystem vier Monate dauert, wäre jetzt der richtige Zeitpunkt, mit dieser Ausbildung zu beginnen. Möchten Sie Ihrem Nachfolger hier Optionen verwehren?;FAVOR
Sehr geehrte Frau Präsidentin! Herr Bundeskanzler, gestern hat die Bundesaußenministerin Annalena Baerbock ins Spiel gebracht, deutsche Soldatinnen und Soldaten im Rahmen einer Friedensmission in die Ukraine zu entsenden. Bislang haben Sie ja immer betont, im Gleichschritt mit unseren internationalen Partnern zu agieren, und jetzt wird im Alleingang vorgeprescht. Daher meine Frage: Wie kommt denn die Bundesregierung eigentlich zu dieser Position und zu der Aussage? Ist sie mit unseren internationalen Partnern abgestimmt? Und warum haben Sie selbst, als Sie in der Ukraine waren, dazu keine Aussagen getroffen?;IRRELEVANT
Vielen Dank, Frau Präsidentin. Herr Bundeskanzler, ich hätte es auch begrüßt, wenn wir darüber mal in den zuständigen Ausschüssen gesprochen hätten. Daher auch meine Nachfrage: Wurden Sie im Vorfeld von der Frau Außenministerin darüber informiert, und haben Sie im Vorfeld auch mal mit dem Bundesverteidigungsminister über so eine Option gesprochen? Vielen Dank.;IRRELEVANT
Vielen Dank. Das bedeutet, Herr Bundeskanzler und ich freue mich auf Ihre Antwort , dass Sie der Meinung sind, dass Deutschland und seine Bündnispartner alles in ihrer Macht Stehende getan haben, damit die Ukraine ihren Kampf um Freiheit und Demokratie gewinnen kann. Sie sind der Meinung, dass es völlig normal ist, dass die Ukraine kurz davorsteht, Gebiete abtreten zu müssen. Sie haben ohne Not immer wieder die NATO-Perspektive der Ukraine nach hinten gedrängt und sich da quasi so verhalten wie 2008, als Deutschland die NATO-Mitgliedschaft der Ukraine abgelehnt hat. Auch damals daran darf ich Sie erinnern gab es eine Große Koalition, in der auch Sie schon in Verantwortung waren.;FAVOR
. Es tut mir leid aber das hat doch nichts damit zu tun! Und dann diese Idee, dass die Ukraine 3 Milliarden Euro mehr bräuchte und dass das jetzt das große böse Ding von Christian Lindner war. Was ist denn das für eine Vorstellung? Die Ukraine braucht Taurus. Die Ukraine braucht Waffen. Das ist die Entscheidung, die die SPD treffen muss. Es geht nicht um die Frage, ob wir 3 Milliarden Euro finden. Reden Sie doch mit unseren Haushältern. Unsere Haushälter hätten Ihnen sofort gesagt: Kein Problem mit den 3 Milliarden Euro das kriegen wir hin. Das Problem ist die Nichtbereitschaft, Waffen zu liefern. Das ist die Herausforderung. Meine Damen und Herren, dieses Land braucht eine klare Entscheidung. Jetzt noch ein Satz zu Ihren Anwürfen gegen die Union. Ich finde es ja richtig, dass sich die Union da nicht ganz verweigert. Aber was ist das denn für eine Absurdität? Der Kanzler hat die Herausforderung, eine Mehrheit in diesem Haus zu suchen, nicht die Union. Nicht die Union muss eine Kanzlermehrheit beschaffen. Solange es einen Bundeskanzler gibt, brauchen wir nicht diese Vorwürfe und Anwürfe, die darauf abzielen, dass es hier eine Mehrheit zusammen mit der Union braucht. Wenn die Union sagt und das ist ihr gutes Recht : Nach einer Vertrauensfrage, die in diesem Haus gestellt wird, arbeiten wir konstruktiv mit, aber erst danach, dann gibt das diesem Land doch genau die Möglichkeit, diese Richtungsentscheidung zu treffen. Es ist nicht die Aufgabe der Union, eine Mehrheitsregierung zu ermöglichen. Es ist auch nicht die Aufgabe der FDP. Nein, das brauche ich nicht zu sein. Ich finde, man muss in diesem Land mit Respekt vorgehen. Und Respekt bedeutet, parlamentarische Mehrheiten selber zu suchen. Das ist anscheinend nicht möglich. Deswegen, meine Damen und Herren, brauchen wir gar nicht so lange darüber zu diskutieren. Es ist absolut notwendig, dass dieses Land so schnell wie möglich zu Neuwahlen kommt. Dafür braucht es eine Vertrauensfrage. Das ist die Aufforderung, die man in den Raum stellen muss. Es braucht eine Richtungsentscheidung und kein Gewürge mehr. Vielen herzlichen Dank. Für die Unionsfraktion hat das Wort Dr. Ottilie Klein.;FAVOR
. Und das, obwohl gerade Sie vorgestern im Haushaltsausschuss ein fertig verhandeltes Paket über 500 Millionen Euro zusätzlich für die Ukraine, gegenfinanziert in Einzelplan 14, gestoppt haben. Nein, das passt nicht zusammen. Das wird dem Ernst der Lage nicht gerecht. Letzte Woche, bei der großen Ukrainekonferenz in Kanada, haben mir der neue ukrainische Außenminister Sybiha und der Sicherheitsberater des ukrainischen Präsidenten, Jermak, gesagt, dass momentan nicht fehlende Finanzen ihr Problem seien überhaupt nicht , sondern dass sie händeringend auf mehr treffsichere, weitreichende Waffen warteten, die ihnen vom Bundeskanzler aber verweigert würden. Deshalb sage ich deutlich und klar: Liefern Sie Taurus! Schwingen Sie nicht nur Worte, sondern helfen Sie der Ukraine konkret! Sie sagen ja immer: Wir wollen nicht eskalieren. Das will niemand. Aber wer eskaliert denn hier in bisher unvorstellbarer Weise? 10 000 nordkoreanische Söldner kämpfen auf Putins Einladung von ihm bezahlt und mit wer weiß was gegenfinanziert jetzt auf europäischem Boden. Was muss eigentlich noch passieren, bis der Bundeskanzler auf diese beispiellose Eskalation Putins und Nordkoreas reagiert? Ja, in der Tat, es gibt vieles, womit wir reagieren müssen nach dieser Wahl in den USA Antiamerikanismus gehört nicht dazu, europäisches Zusammenstehen sehr wohl. Und genauso gehört dazu auch, Nein zu einer Appeasement-Politik zu sagen, der Realität in die Augen zu sehen und der deutschen Bevölkerung zu erklären, wie ernst die Lage ist. Wir dürfen nicht Stimmungen hinterherlaufen. Es ist sehr wichtig, dass wir den Ernst dieser Lage erkennen. Vielen Dank.;FAVOR
Herr Präsident! Liebe Kolleginnen und Kollegen! Der Nahe Osten ist ein Pulverfass. Der Iran versucht, in der gesamten Region seine Terrorbanden und Milizen zu installieren und mit religiöser Ideologie alles zu destabilisieren. Der IS, der lange Zeit Teile des Irak beherrscht hatte, ist weitgehend vertrieben, und Deutschland und die Bundeswehr haben einen wichtigen Anteil daran. Aber der IS ist noch nicht komplett besiegt. Die deutschen Beiträge umfassen zum Beispiel Luftraumüberwachung, Luftbetankung, Lufttransport, aber auch die Ausbildung der Peschmerga in der Region Kurdistan im Nordirak. Schon die reine Präsenz internationaler Truppen dort, im Nordirak, schützt Kurden und Jesidinnen und Jesiden denn der Iran und die Türkei sind in dieser Region ständige Bedrohungen. Gerade der Nordirak, Kurdistan, ist ein Beispiel für Stabilität, für religiöse Toleranz, für Sicherheit und für einen bescheidenen Wohlstand, der in dieser Region vorbildlich ist. Nicht unterschätzt werden darf auch der Standort al-Asrak in Jordanien als Basis für unsere Luftwaffe. Die Zusammenarbeit mit den dortigen Behörden funktioniert sehr gut und stärkt auch die partnerschaftlichen Beziehungen Deutschlands mit dem Staat Jordanien. Dieser Stützpunkt ist auch eine wichtige Basis abseits des heutigen Mandats. Er war vor wenigen Jahren nämlich die Ausgangsbasis, die entscheidende Basis für die Luftwaffe, als wir aus dem Sudan EU-Bürgerinnen und -Bürger evakuieren mussten, nachdem der dortige Bürgerkrieg diese Rettung notwendig gemacht hatte. Ohne die Basis al-Asrak wäre uns das nicht möglich gewesen. Das ist auch einer der Gründe, warum wir heute an diesem Mandat festhalten sollten. Der Irak ist auf dem Weg, eine gemeinsame Nation zu werden. Sunniten, Schiiten, Jesiden und Kurden fangen an, sich als Iraker zu fühlen und nicht mehr als einer Religion angehörig oder einer Provinz angehörig. Die Regierung in Bagdad wünscht ausdrücklich, dass Deutschland, dass die Bundeswehr bei der Stabilisierung vor Ort hilft. Würden wir weggehen, würden andere die Lücke füllen, und das wäre an allererster Stelle der Iran. Im Gazastreifen, im Libanon und im Jemen kann man sehen, welche Folgen so was hat. Liebe Kolleginnen und Kollegen, im Irak finden im kommenden Jahr Parlamentswahlen statt. In den nächsten Monaten und Jahren wird sich entscheiden, welchen Weg dieses Land, der Irak, nehmen wird: Wird es das Modell Libanon, Syrien und Jemen mit starkem Iran-gesteuertem Terrorismus und bürgerkriegsähnlichen Zuständen im Land, oder wird es das Modell Ägypten und Jordanien mit einer stabilen Regierung? Das können wir mit unserem Beitrag zu dieser Stabilitätsmission auch ein Stück weit fördern. Ich will mich heute bei allen Soldatinnen und Soldaten unserer Bundeswehr bedanken, die vor Ort helfen, dieses Land zu stabilisieren, und den Irak auf seinem Weg in die Zukunft begleiten. Vielen Dank. Vielen Dank, Herr Kollege Müller. Nächster Redner ist der Kollege Thomas Silberhorn, CDUCSU-Fraktion.;IRRELEVANT
Vielen Dank. Frau Präsidentin! Verehrte Kolleginnen und Kollegen! Dass wir hier regelmäßig die Stimme Moskaus hören, ertragen wir bereits seit einigen Jahren. Aber dass diese Stimme Moskaus gleichzeitig auch die Stimme Teherans ist, ist in der Rede von Herrn Chrupalla gerade deutlich geworden. Unfassbar! Keine Waffenlieferungen an die Ukraine das kennen wir. Aber keine Waffenlieferungen mehr an Israel? Deutschland soll die Unterstützung Israels abstellen. Allein der Zusammenhang, der von Herrn Chrupalla gerade verschwiegen worden ist: Wladimir Putin bekommt natürlich massive militärische Unterstützung aus dem Iran. Ein AfD-Abgeordneter, der hier im Interesse von Wladimir Putin spricht, damit der seinen Krieg gegen die Ukraine weiterführen kann, tritt jetzt auch noch an die Seite des Irans, um diese Achse zu stärken. Die Achse MoskauTeheran sitzt genau dort und bedauerlicherweise auch dort drüben, meine Damen und Herren. Da sitzen die Feinde unseres Landes, um es mal in aller Deutlichkeit auszusprechen, die unseren Bündnispartnern und insbesondere vor dem Hintergrund der deutschen Staatsräson unseren Freunden in Israel so in den Rücken fallen und dann auch noch davon sprechen, dass sie angeblich in Deutschland Antisemitismus bekämpfen wollen. Das war mehr als entlarvend, Herr Chrupalla. Das war unverantwortlich. Herr Merz, ich will Ihnen zu Anfang ein ausdrückliches Dankeschön für Ihre sehr klaren Worte sagen. Ich glaube, Sie haben vorhin, als Sie dieses Thema angesprochen haben, nicht nur als Fraktionsvorsitzender der CDUCSU gesprochen, sondern auch als Parteivorsitzender der CDU Deutschlands. Was diese merkwürdigen Gastbeiträge betrifft, die ich jetzt gelesen habe, insbesondere von Herrn Kretschmer, von Herrn Voigt und von Herrn Woidke: Es war richtig, dass Sie das hier einmal klargestellt haben. Denn eins muss für die demokratische Mitte dieses Hauses immer klar sein: wo wir stehen im transatlantischen Bündnis und wen wir unterstützen Israel und die Ukraine. Deswegen: Lieber Herr Merz, das verdient Respekt. Ich glaube übrigens, es war auch ein sehr deutlicher Hinweis an die derzeit in Koalitionsverhandlungen befindlichen Parteien in den ostdeutschen Bundesländern. Herzlichen Dank dafür! Meine sehr verehrten Damen und Herren, der Bundeskanzler hat die Wettbewerbsfähigkeit herausgestellt, die beim Europäischen Rat eine besondere Rolle spielen wird. In dem Zusammenhang will ich eins unterstreichen, nämlich dass unsere geopolitische Stärke insbesondere in den kommenden Jahren und Jahrzehnten unmittelbar mit unserer ökonomischen Stärke zusammenhängt. Deswegen ist es auch ein Beitrag für Frieden in der Welt und in Europa, wenn Europa und Deutschland ökonomisch stark sind. Dahin müssen wir wieder zurückkommen. Es ist über die Handelspolitik gesprochen worden, und ich bin Ihnen, Herr Bundeskanzler, sehr dankbar für die deutlichen Worte. Es ist dieser Bundesregierung und dieser Koalitionsmehrheit am Ende möglich gewesen, das Freihandelsabkommen CETA zu ratifizieren. Ich bin dankbar für die sehr deutlichen Worte in Bezug auf Mercosur. Meine klare Aufforderung in Richtung von Frau von der Leyen lautet, auch mit den Vereinigten Staaten von Amerika Verhandlungen aufzunehmen. Der Wohlstandsmotor Europas ist mehr Freihandel mit den Demokratien der Welt. Das muss die klare Botschaft auch dieses EU-Gipfels sein. Sie haben die bürokratische Situation angesprochen. Auch das will ich noch einmal in aller Deutlichkeit sagen: Die Europäische Union hat sich bereits vor 20 Jahren beim Wachstum von den Vereinigten Staaten von Amerika abhängen lassen;FAVOR
Sehr geehrte Frau Präsidentin! Liebe Kolleginnen und Kollegen! Seit dem 24. Februar 2022 tobt der Angriffskrieg Russlands gegen die Ukraine. Seitdem ist keine Sitzungswoche des Deutschen Bundestags vergangen, in der wir uns nicht mit der Ukraine befasst haben. Auch kein Gipfeltreffen der Europäischen Union hat stattgefunden, bei dem die Unterstützung der Ukraine nicht ganz oben auf der Agenda stand. Seit mehr als zweieinhalb Jahren verteidigt sich die Ukraine gegen den Kriegstreiber im Kreml. Seit zweieinhalb Jahren unterstützen wir die tapferen Ukrainerinnen und Ukrainer finanziell, humanitär und militärisch. Daran wird sich auch nichts ändern, und daran darf sich auch nichts ändern denn die anhaltende Unterstützung ist für die Ukraine genauso lebenswichtig überlebenswichtig! wie für uns. Unsere Sicherheit, die Sicherheit der Europäischen Union, wird gegenwärtig in der Ukraine verteidigt. Das muss uns doch klar sein. Unsere Aufgabe und Herausforderung wird es sein, diese andauernde Unterstützung auch unter den europäischen Bürgerinnen und Bürgern aufrechtzuerhalten denn auf sie hat es Putin langfristig abgesehen. Sein Ziel in diesem hybriden Krieg ist, dass die Solidarität der Menschen in der EU mit der Ukraine Risse bekommt stetig, Stück für Stück. Dafür sind ihm alle Methoden recht. Die Einflussnahme erleben wir im Netz, aber auch hier im Hohen Hause, von rechts außen und von links außen. AfD und BSW sind die besten, die willfährigsten Lautsprecher des Kremltyranns. Hinter ihrem Wunsch nach Frieden verbirgt sich in Wahrheit nichts anderes als die vollständige Unterwerfung der Ukraine. Das, liebe Kolleginnen und Kollegen, müssen wir verhindern. Daher dürfen wir uns als Vertreter der demokratischen Parteien nicht von den Marionetten Russlands treiben lassen. Der jüngst erschienene Gastbeitrag von Kretschmer, Voigt und Woidke in der FAZ lässt aber genau das befürchten. Und, Herr Merz, bei allem Lob meines Fraktionsvorsitzenden: Das ist auch eine Pflicht für Sie als Parteivorsitzender. Deswegen ist es richtig, wenn Präsident Selenskyj in Washington, Rom, Paris, London, Berlin und jetzt auch beim EU-Gipfel seine Vorstellungen und Pläne präsentiert. Für Putin wäre es doch ein Leichtes Sie können jetzt ruhig zuhören , seine Truppen zurückzuziehen. Ein Befehl reicht, und es gäbe Frieden. Die Ukraine kämpft um ihr Überleben und für den Frieden, für einen gerechten Frieden. Liebe Kolleginnen und Kollegen, als direktes Nachbarland der Ukraine spürt auch die Republik Moldau die Folgen des Krieges. Nachdem vorhin in der Union Zweifel daran herrschten, was denn auf der Tagesordnung des Europäischen Rats steht, dies als Serviceleistung: Nicht nur Ukraine, sondern auch Moldau und Georgien stehen auf der Tagesordnung. Zu Georgien komme ich nachher noch. Die Republik Moldau ist ein Land, in dem sich vieles getan hat: Reformen werden umgesetzt Beitrittsverhandlungen wurden gestartet. Gleichzeitig versuchen massive Desinformationskampagnen, die Menschen zu verunsichern. Die Propagandamaschinerie des Kremls arbeitet auf Hochtouren. Es werden Zahlungen für den Stimmenkauf geleistet Meinungsmacher in Moldau assistieren. Beide verbindet ein Ziel: die Menschen und das Land vom eingeschlagenen Kurs Richtung Europa abzubringen im Interesse Russlands, im Interesse von einigen Oligarchen, die es kaum abwarten können, sich das Land wie schon einmal einzuverleiben und es letztendlich zu kapern. Am Sonntag bestimmen die Moldauerinnen und Moldauer den weiteren Weg des Landes;FAVOR
. Beide verbindet ein Ziel: die Menschen und das Land vom eingeschlagenen Kurs Richtung Europa abzubringen im Interesse Russlands, im Interesse von einigen Oligarchen, die es kaum abwarten können, sich das Land wie schon einmal einzuverleiben und es letztendlich zu kapern. Am Sonntag bestimmen die Moldauerinnen und Moldauer den weiteren Weg des Landes. Die Präsidentschaftswahlen und das Referendum mit dem Ziel, die EU-Integration in der Verfassung zu verankern, werden die weitere Ausrichtung der Republik Moldau entscheidend prägen. Auch Georgien steht eine entscheidende Wahl bevor. Desinformation und Verunsicherung prägen den Wahlkampf und erhöhen die Spannungen in der Gesellschaft. Freie Wahlen sind kaum zu erwarten und wären doch so wichtig für das Land auf dem Weg in die EU. Hier ist die Regierung Georgiens aufgefordert, faire Wahlen sicherzustellen. Aber eins ist auch klar: Georgien ist Teil Europas und wird es immer bleiben. Wir stehen an der Seite der Georgierinnen und Georgier auf ihrem Weg in die Europäische Union. Selten, liebe Kolleginnen und Kollegen, wurden Frieden, Freiheit und Wohlstand in Europa derart herausgefordert wie zurzeit. Russland wird mittelund wohl auch langfristig kein konstruktiver Partner mehr sein im Gegenteil. Krieg und Flucht verändern Europa. Die Freizügigkeit in Europa, das grenzenlose Reisen im Schengenraum sind wertvolle Errungenschaften, die wir nicht leichtfertig aufgeben sollten. Die Erwartungen Europas an Deutschland sind gewachsen und wachsen weiter, vor allem in Mittelund Osteuropa. Daran werden wir gemessen. Die EU ist nicht das erste Mal in schweres Fahrwasser geraten. Aber Krisen und Herausforderungen stärken den Zusammenhalt auch das haben die letzten Jahre gezeigt. Heute zeigt die EU Stärke und Einigkeit bei der Unterstützung der Ukraine, im Einsatz für Frieden und Freiheit. Vielen Dank.;NEUTRAL
. Ich bin sehr froh, dass das seit einer Woche wieder der Fall ist. Das ist sehr gut. Auch das kann man mal hervorheben. Seit einer Woche hat sich etwas bewegt. Man kann mit den deutschen Unternehmen sprechen, die zur Verteidigung Israels beitragen. Liebe Kolleginnen und Kollegen, man kann sich doch bei allen bedanken, die daran mitgewirkt haben: bei Ihnen, liebe Kolleginnen und Kollegen von der Union, aber auch bei allen anderen Kollegen auch bei denen aus der Grünenfraktion kann man sich bedanken, insbesondere auch bei den Mitgliedern des Bundessicherheitsrats, die jetzt ihre Blockade aufgegeben haben und die wieder unterstützen. Angesichts der letzten Monate jedoch muss auch jeder prüfen, ob sein Kompass zur Unterstützung Israels noch stimmt. Angesichts der letzten Monate müssen wir auch darüber reden, ob der Kompass, dass die Sicherheit Israels deutsche Staatsräson ist, bei jedem noch richtig eingestellt ist oder ob Sie Ihren Kompass vielleicht an der einen oder anderen Stelle nachjustieren müssen. Vielleicht müssen wir auch darüber reden, bei wem ein solcher Kompass zerbrochen ist und wer sich deshalb in der Zukunft besser mit anderen Themen beschäftigen sollte, liebe Kolleginnen und Kollegen. Kommen Sie bitte zum Schluss. Ich hoffe, dass wir den jetzigen Prozess fortsetzen. Ich hoffe, dass wir die zentrale Demokratie im Nahen Osten bei ihrer Selbstverteidigung weiter unterstützen. Wir sollten Israel jetzt und in der Zukunft so behandeln wie unsere 31 NATO-Partner auch. Vielen Dank.;IRRELEVANT
. Wir danken den Soldatinnen und Soldaten des Staates Israel. Ich habe die eine Aussage vorhin mit einem Fragezeichen versehen. Die Aussagen und die Täter-Opfer-Umkehr von der rechten Seite des Hauses kennen wir. Wenn jetzt aber die Vorsitzende eines Bündnisses, das ihren eigenen Namen trägt, gestern im deutschen Fernsehen gesagt hat, Israels Antwort auf den Terror der Hamas, die Antwort der israelischen Armee, das sei Terror, will ich in aller Deutlichkeit sagen: Diese andauernde Täter-Opfer-Umkehr werden wir nicht zulassen! Mit einem solchen Bündnis, meine Damen und Herren, ist kein Staat zu machen, weder hier noch an anderer Stelle, um das in aller Deutlichkeit zu sagen. Es müssen uns jetzt drei Dinge leiten: Erstens. Bei allem, was wir tun, muss uns klar sein, wer und was der Kern der seit Jahrzehnten andauernden Gewalt im Nahen Osten ist es ist das iranische Mullah-Regime, das ist die Ursache, das sind die Drahtzieher der Gewalt der Hisbollah und der Hamas gegen den Staat Israel und seine Bürger. Deshalb müssen wir den Iran stärker in den Blick nehmen, auch in der Frage von Sanktionen. Auch das ist die geopolitische Verantwortung der Bundesrepublik Deutschland. Zweitens. Wir müssen darüber sprechen, wie wir Israel weiterhin unterstützen, meine Damen und Herren. Drittens. Wir müssen feststellen es wurde von Vorrednern gesagt , dass die Zahl der antisemitischen Vorfälle in Deutschland erschreckend gestiegen ist. Jüdinnen und Juden fühlen sich nicht sicher auf deutschen Straßen. Das dürfen wir nicht tolerieren! Wir müssen dagegen vorgehen! Ich sage es in aller Deutlichkeit: Wer in Deutschland gegen jüdisches Leben auf die Straße geht, der hat in diesem Land nichts zu suchen denn er teilt unsere Werte nicht, meine Damen und Herren. Er teilt unsere Werte nicht. Es ist daher unsere tägliche Verpflichtung auch als Mitglieder des Deutschen Bundestags , alles dafür zu tun, jüdisches Leben zu schützen. Es ist unsere tägliche Verpflichtung, das Selbstverteidigungsrecht des jüdischen Staates, des Staates Israels, ohne Wenn und Aber zu unterstützen. Ich danke Ihnen.;IRRELEVANT
